Product,Type,Release Date,Transistors (million)
NVIDIA NVS 3100M,GPU,2010-01-07,260
ATI Radeon DDR MAXX,GPU,2000-06-01,30
NVIDIA Quadro NVS 440,GPU,2006-02-14,146
NVIDIA GRID K260Q,GPU,2013-06-28,3540
NVIDIA GeForce 9300 + nForce 730i,GPU,2007-04-17,314
NVIDIA GeForce GTX 1060 5 GB,GPU,2017-12-26,4400
AMD Radeon R7 M260DX,GPU,2014-01-07,690
Intel Xeon Phi SE10X,GPU,2012-11-12,5000
AMD Radeon HD 7480D IGP,GPU,2012-10-02,1303
NVIDIA GeForce GTX 1060 6 GB GP104,GPU,2018-03-08,7200
AMD Radeon HD 6970,GPU,2010-12-14,2640
AMD Radeon R7 250XE,GPU,2014-08-21,1500
ATI Radeon IGP 345M,GPU,2002-10-05,30
AMD Radeon HD 7970 X2,GPU,2012-08-31,4313
NVIDIA GeForce GT 1030 DDR4,GPU,2018-03-12,1800
Intel UHD Graphics 630,GPU,2017-09-01,
NVIDIA PG506-232,GPU,2021-04-12,54200
NVIDIA Quadro K600,GPU,2013-03-01,1270
NVIDIA GeForce GTX 1660 Ti Mobile,GPU,2019-04-23,6600
ATI Mobility Radeon X1350,GPU,2006-09-18,107
NVIDIA GeForce FX 5200 PCI,GPU,2003-03-06,45
ATI Radeon X1300 XT AGP,GPU,2006-08-12,157
AMD Radeon R5 230,GPU,2014-04-03,370
NVIDIA Quadro T600 Mobile,GPU,NaT,4700
AMD Radeon HD 7970,GPU,2011-12-22,4313
AMD Radeon RX 6700M,GPU,NaT,17200
ATI Radeon X1300 XT,GPU,2006-08-12,157
ATI Radeon X1300 PRO AGP,GPU,2005-10-01,107
AMD Radeon E9171 MCM,GPU,2017-10-03,2200
NVIDIA GeForce Go 7300,GPU,2006-02-01,112
NVIDIA Quadro FX 2700M,GPU,2008-08-14,505
Intel GMA 950,GPU,2006-01-01,
NVIDIA GeForce FX Go5300,GPU,2003-03-01,45
AMD Radeon E8860,GPU,2014-01-25,1500
AMD Radeon Pro Vega 16,GPU,2018-11-14,
NVIDIA GeForce 6800 XT,GPU,2005-09-30,222
NVIDIA GeForce 7300 GS Low Profile,GPU,2006-01-18,112
ATI Radeon HD 4570 Rebrand,GPU,2009-11-22,378
Intel Xeon Phi 5110P,GPU,2012-11-12,5000
NVIDIA GeForce 9800S,GPU,2008-07-15,505
NVIDIA GeForce 7025 + nForce 630a,GPU,2006-02-01,112
AMD Radeon R9 M485X,GPU,2016-05-15,5000
NVIDIA GeForce GTX 480M,GPU,2010-05-25,3100
NVIDIA GeForce GTX 285 Mac Edition,GPU,2009-01-15,1400
ATI Radeon X1600 XT Dual,GPU,NaT,157
ATI Radeon SDR PCI,GPU,2000-06-01,30
NVIDIA GeForce 9500 GS Rev. 2,GPU,2008-07-29,314
AMD Radeon RX Vega 11,GPU,2019-07-07,4940
ATI Mobility Radeon HD 5165,GPU,2010-01-07,514
ATI Radeon X800 GTO AGP,GPU,2007-11-08,160
AMD Radeon R5 235X OEM,GPU,2013-12-21,370
NVIDIA Quadro Plex 2100 D4,GPU,2008-07-25,754
AMD Radeon Pro Duo Polaris,GPU,2017-04-24,5700
AMD Radeon RX 550X,GPU,2018-12-16,2200
NVIDIA GeForce GTX 1080 Max-Q,GPU,2017-06-27,7200
AMD Radeon RX 560 Mobile,GPU,2017-01-05,3000
NVIDIA Quadro M5500 Mobile,GPU,2016-04-08,5200
ATI Radeon X600 SE,GPU,2004-09-01,107
3dfx Voodoo4 4000 AGP,GPU,NaT,14
AMD FirePro W4000,GPU,2012-08-07,2800
NVIDIA GeForce GTX 580,GPU,2010-11-09,3000
NVIDIA GeForce RTX 2060 Max-Q Refresh,GPU,2019-01-29,10800
ATI Mobility Radeon HD 5650,GPU,2010-01-07,627
Intel GMA X4500,GPU,2008-06-01,
AMD Radeon E9550 MXM,GPU,2016-09-27,5700
Intel HD Graphics 2000,GPU,2011-02-01,504
ATI Radeon HD 4700,GPU,2010-02-11,514
AMD Radeon HD 8670A,GPU,2013-02-02,950
ATI Xbox 360 GPU 65nm,GPU,2008-08-01,232
AMD Radeon R9 285X,GPU,NaT,5000
NVIDIA GeForce GTX 1080 11Gbps,GPU,2017-04-20,7200
NVIDIA Quadro P3000 Mobile,GPU,2017-01-11,7200
NVIDIA GeForce GT 730,GPU,2014-06-18,1020
AMD Radeon R7 A265,GPU,2014-01-09,950
NVIDIA GeForce FX Go5200 64M,GPU,2003-03-01,45
NVIDIA GeForce 7600 GS AGP,GPU,2006-07-01,177
NVIDIA GeForce RTX 3070 Mobile,GPU,2021-01-12,17400
ATI FireMV 2260,GPU,2008-01-01,181
NVIDIA GeForce 6100 + nForce 420,GPU,2004-10-11,
NVIDIA GeForce 6100 + nForce 430,GPU,2004-10-11,
NVIDIA GeForce GTX 560 Ti OEM,GPU,2011-03-30,3000
AMD Radeon R5 A255,GPU,2014-01-01,1550
ATI Radeon X1650 GT,GPU,2007-05-01,330
NVIDIA GRID M60-2Q,GPU,2015-08-30,5200
NVIDIA TITAN X Pascal,GPU,2016-08-02,11800
AMD FirePro W8100,GPU,2014-06-23,6200
ATI Mobility Radeon 9600 PRO Turbo,GPU,2004-02-13,76
NVIDIA Quadro FX 5600,GPU,2007-03-05,681
NVIDIA P106-090,GPU,2017-07-31,4400
NVIDIA Quadro FX Go1400,GPU,2005-02-25,222
NVIDIA GeForce Go 7300T,GPU,2006-02-01,112
AMD Radeon R7 Graphics,GPU,2014-02-17,2410
NVIDIA GeForce GT 325M,GPU,2010-01-10,486
NVIDIA RTX A5000,GPU,2021-04-12,28300
ATI Radeon Xpress 1200 IGP,GPU,2007-02-28,120
NVIDIA GeForce 7900 GT,GPU,2006-03-09,278
AMD Radeon R8 M535DX,GPU,2017-04-18,1550
NVIDIA Quadro K2200,GPU,2014-07-22,1870
NVIDIA GeForce GT 720M,GPU,2013-12-25,1020
AMD FirePro S7100X,GPU,2016-05-25,5000
NVIDIA Quadro 4000,GPU,2010-11-02,3100
AMD Radeon HD 8860 OEM,GPU,2013-01-08,2800
NVIDIA GeForce 8800 GTS 640,GPU,2006-11-08,681
NVIDIA Tesla K20m,GPU,2013-01-05,7080
AMD Radeon HD 6250 IGP,GPU,2012-10-09,450
NVIDIA Quadro NVS 135M,GPU,2007-05-09,210
Intel Xeon Phi 7120P,GPU,2013-06-17,5000
NVIDIA GeForce RTX 2080 SUPER Mobile,GPU,2020-04-02,13600
NVIDIA Jetson TX1 GPU,GPU,2015-01-04,2000
AMD Radeon R7 M260X,GPU,2015-12-06,950
NVIDIA GeForce GT 1030,GPU,2017-05-17,1800
AMD Radeon R5 M230 Rebrand,GPU,2014-05-31,690
NVIDIA GeForce FX 5900 Ultra,GPU,2003-10-23,135
ATI Mobility Radeon HD 5670 Mac Edition,GPU,2010-04-22,627
AMD Radeon HD 7340 IGP,GPU,2012-06-06,450
AMD Radeon RX 460 Mobile,GPU,2016-08-08,3000
NVIDIA Quadro 1000M,GPU,2011-01-13,585
AMD Radeon Vega 8 Mobile,GPU,2021-01-12,9800
NVIDIA Quadro FX 4400,GPU,2005-07-28,222
ATI Radeon HD 2400 PRO PCI,GPU,2007-06-28,180
NVIDIA GeForce 6800 GT,GPU,2004-06-08,222
NVIDIA Quadro FX 4400G,GPU,2005-07-28,222
NVIDIA GeForce RTX 2060,GPU,2019-01-07,10800
ATI Radeon HD 5670 640SP Edition,GPU,2010-07-18,1040
ATI FirePro V3800,GPU,2010-04-26,627
NVIDIA GRID K200,GPU,2013-06-28,3540
Intel Extreme Graphics 2,GPU,2003-12-03,
AMD Radeon Pro 450,GPU,2016-10-30,3000
ATI Mobility Radeon HD 2700,GPU,2007-12-12,390
ATI Mobility Radeon HD 3850,GPU,2008-06-04,666
Intel HD Graphics P4000,GPU,2012-05-14,1200
AMD Radeon Graphics 384SP,GPU,2020-01-06,9800
Intel Iris Pro Graphics 5200,GPU,2013-05-27,
ATI Radeon HD 5770,GPU,2009-10-13,1040
NVIDIA Quadro FX 3500,GPU,2006-05-22,278
AMD Radeon HD 7950 Monica BIOS 1,GPU,2012-01-31,4313
AMD Radeon R7 260,GPU,2013-12-17,2080
NVIDIA GeForce GT 120M Mac Edition,GPU,2008-12-12,314
ATI Radeon 8500 X4,GPU,NaT,60
NVIDIA GeForce GTX 460 v2,GPU,2011-09-24,1950
NVIDIA GeForce 7050 + nForce 620i,GPU,2007-10-04,112
NVIDIA GeForce 840M,GPU,2014-03-12,
Intel HD Graphics,GPU,2013-04-29,
AMD Radeon Pro V520,GPU,2020-12-01,
NVIDIA GeForce4 MX 420 PCI,GPU,2002-02-06,29
NVIDIA GeForce 6200 TurboCache,GPU,2004-12-15,75
AMD FirePro M8900,GPU,2011-04-12,1700
AMD Radeon HD 8250 IGP,GPU,2013-05-23,1178
Intel H3C XG310,GPU,2020-11-11,
AMD Radeon HD 6630M Mac Edition,GPU,2011-01-04,716
AMD Radeon R9 M275,GPU,2014-01-28,1500
ATI Mobility Radeon HD 4100 IGP,GPU,2009-11-01,181
NVIDIA Quadro FX 600 PCI,GPU,2004-03-17,45
ATI Radeon HD 3850,GPU,2007-11-19,666
NVIDIA Quadro P400,GPU,2017-02-07,3300
ATI Radeon 9800,GPU,2003-03-01,117
NVIDIA Quadro 7000,GPU,2012-05-02,3000
ATI All-In-Wonder X800 SE,GPU,2005-04-27,160
ATI Radeon HD 2600 XT,GPU,2007-06-28,390
Intel HD Graphics 400,GPU,2015-04-01,
Intel GMA X4500MHD,GPU,2008-09-01,
ATI Radeon 9200 PRO,GPU,2003-05-01,36
ATI FireMV 2200,GPU,2006-01-01,107
ATI Radeon X700 PRO,GPU,2004-09-01,120
ATI Mobility FireGL V3100,GPU,2004-06-01,107
AMD Radeon HD 6850 X2,GPU,2011-09-19,1700
AMD Radeon HD 7970 GHz Edition,GPU,2012-06-22,4313
ATI Mobility Radeon X1350,GPU,2006-09-18,107
AMD Radeon E9172 MXM,GPU,2017-10-03,2200
AMD Radeon HD 8280 IGP,GPU,2013-09-18,1178
NVIDIA Tesla T4,GPU,2018-09-13,13600
Intel HD Graphics P530,GPU,2015-09-01,
ATI Radeon HD 5670,GPU,2010-01-14,627
ATI Radeon 9700 PRO X4,GPU,2002-07-01,110
ATI Radeon X800 XT Platinum AGP,GPU,2004-05-01,160
ATI Radeon X600 PRO,GPU,2004-09-01,107
NVIDIA Quadro K4200,GPU,2014-07-22,3540
NVIDIA GeForce FX 5200 Rev. 2,GPU,2003-03-06,45
AMD Radeon HD 7370M,GPU,2012-01-07,292
NVIDIA GeForce 6800,GPU,2004-04-14,222
NVIDIA GeForce Go 7400T,GPU,2006-02-01,112
ATI Radeon HD 5970,GPU,2009-11-18,2154
NVIDIA GeForce FX 5950 Ultra,GPU,2003-10-23,135
AMD Radeon R5 240 OEM,GPU,2013-11-01,950
NVIDIA Quadro FX 470,GPU,2007-09-12,314
NVIDIA GeForce GTX 750 Ti,GPU,2014-02-18,1870
NVIDIA Tesla P100 PCIe 12 GB,GPU,2016-06-20,15300
NVIDIA GeForce GTX 950A,GPU,2015-03-13,1870
AMD Radeon R2 Mobile Graphics,GPU,2016-06-01,1200
AMD Radeon 540X Mobile,GPU,2018-09-05,2200
NVIDIA GeForce Go 7800,GPU,2006-03-03,302
Matrox Millennium G450 x2 MMS,GPU,2002-06-19,10
AMD Radeon R8 M365DX,GPU,2015-06-03,1550
AMD Radeon R9 380 OEM,GPU,2015-05-05,5000
NVIDIA ION LE,GPU,2008-06-03,282
AMD Playstation 4 Slim GPU,GPU,2016-09-07,
NVIDIA GeForce 6800 GTO,GPU,2004-04-14,222
AMD Radeon HD 6870 1600SP Edition,GPU,2013-01-14,2154
NVIDIA Quadro Plex 1000 Model IV,GPU,2008-07-25,681
NVIDIA GRID K100,GPU,2013-06-28,1270
ATI Radeon IGP 340,GPU,2002-10-05,30
ATI Mobility FireGL V5600,GPU,2007-05-14,390
NVIDIA GeForce GTS 450 OEM,GPU,2010-09-13,1170
NVIDIA A100 SXM4 80 GB,GPU,2020-11-16,54200
ATI Mobility Radeon HD 4330,GPU,2009-01-09,242
AMD Radeon RX 640 Mobile,GPU,2019-05-13,2200
Sony Playstation Portable GPU 65nm,GPU,2007-08-30,
NVIDIA Quadro FX 350M,GPU,2006-03-13,112
NVIDIA GeForce 6800 XT,GPU,2005-09-30,222
NVIDIA GeForce 9300 GS,GPU,2008-06-01,210
AMD Radeon R9 M295X,GPU,2014-11-23,5000
NVIDIA Quadro RTX 3000 Mobile Refresh,GPU,2019-05-27,10800
NVIDIA Tesla C2070,GPU,2011-07-25,3100
ATI All-In-Wonder HD 3650,GPU,2008-06-28,378
AMD Radeon HD 7990,GPU,2013-04-24,4313
NVIDIA Quadro RTX 6000 Passive,GPU,2018-08-13,18600
AMD Radeon RX 560 Mobile,GPU,2017-01-05,3000
ATI ES1000,GPU,2007-10-18,8
ATI Mobility Radeon HD 5770,GPU,2010-01-07,627
Intel Xe Arctic Sound,GPU,2020-01-01,8000
NVIDIA Quadro RTX 5000,GPU,2018-08-13,13600
NVIDIA GeForce 830A,GPU,2014-07-22,
NVIDIA GeForce GTX 1060 3 GB,GPU,2016-08-18,4400
ATI Radeon X1550 PCI,GPU,2007-01-01,107
ATI Radeon HD 5870 Mac Edition,GPU,2010-06-30,2154
NVIDIA GeForce 920MX,GPU,2016-03-25,
NVIDIA Quadro K6000,GPU,2013-07-23,7080
NVIDIA GeForce2 MX 200 PCI,GPU,2001-03-03,20
AMD Radeon HD 7470A,GPU,2012-01-05,627
AMD Radeon R5 310 OEM,GPU,2015-05-05,370
NVIDIA GeForce 8400 GS PCI,GPU,2007-12-04,210
NVIDIA GeForce GTX TITAN X,GPU,2015-03-17,8000
AMD Radeon HD 6430M,GPU,2011-01-04,370
NVIDIA GeForce 9800 GTX+,GPU,2009-01-16,754
NVIDIA Quadro2 MXR,GPU,2000-07-25,20
NVIDIA GeForce 310M,GPU,2010-01-10,260
NVIDIA GeForce 8600 GTS,GPU,2007-04-17,289
NVIDIA GeForce GT 220,GPU,2010-01-26,505
Matrox Parhelia HR256,GPU,2001-01-01,80
AMD Radeon HD 6490M Mac Edition,GPU,2011-05-02,370
Intel UHD Graphics P750,GPU,2021-01-01,
NVIDIA GeForce 8400M GT,GPU,2007-05-09,210
NVIDIA GeForce GTX 1060 6 GB 9Gbps,GPU,2017-04-20,4400
AMD Radeon R7 450 OEM,GPU,2016-06-30,1500
ATI Mobility Radeon HD 5470,GPU,2010-01-07,292
AMD Radeon HD 6610M,GPU,2011-01-04,716
NVIDIA GeForce GT 520 OEM,GPU,2012-02-01,585
AMD Radeon R9 M395X Mac Edition,GPU,2015-05-05,5000
AMD Radeon Pro SSG,GPU,2017-08-08,12500
NVIDIA GeForce GTX 570M,GPU,2011-06-28,1950
ATI Radeon HD 3730,GPU,2008-10-05,378
NVIDIA P106M,GPU,2019-01-23,4400
NVIDIA GeForce G105M,GPU,2009-12-14,260
NVIDIA GRID RTX T10-16,GPU,NaT,18600
NVIDIA GeForce GT 640M,GPU,2012-03-22,1270
ATI Radeon HD 4550,GPU,2008-09-30,242
NVIDIA GeForce GTX 780M,GPU,2013-05-11,3540
ATI Radeon 8500 LE,GPU,2002-02-04,60
AMD Radeon E6760 MXM,GPU,2011-05-02,716
AMD FirePro W7100,GPU,2014-08-12,5000
NVIDIA GeForce 6200,GPU,2004-10-11,146
NVIDIA Quadro K3000M,GPU,2012-06-01,3540
NVIDIA GeForce GTX 660M Mac Edition,GPU,2013-04-01,1270
NVIDIA GeForce 9600M GT Mac Edition,GPU,2008-10-25,314
NVIDIA GeForce GTX 275 PhysX Edition,GPU,2010-02-16,1400
AMD Radeon 520 Mobile,GPU,2017-04-18,690
NVIDIA GeForce 710M,GPU,2013-07-24,1020
AMD Radeon HD 8950M,GPU,2013-05-14,2080
ATI Radeon Xpress 1150 Mobile IGP,GPU,2006-05-23,
AMD Radeon R7 M465,GPU,2016-05-15,1550
ATI Radeon X1600 XT,GPU,2007-10-01,157
NVIDIA ION HX,GPU,2008-06-03,282
AMD Radeon RX 6600 XT,GPU,NaT,
NVIDIA GeForce 7500 LE,GPU,2006-03-22,112
ATI Mobility Radeon 9550,GPU,2004-06-01,76
ATI Radeon HD 3300 IGP,GPU,2008-08-06,180
AMD Radeon HD 8730M,GPU,2013-04-01,950
NVIDIA GeForce GTX 670MX,GPU,2012-10-01,3540
AMD Radeon E8950,GPU,2015-09-29,5000
AMD Radeon R4 Mobile Graphics,GPU,2014-09-17,2410
NVIDIA GeForce GTX 1070 Ti,GPU,2017-11-02,7200
NVIDIA GeForce 6200 LE,GPU,2005-04-04,75
NVIDIA NVS 810,GPU,2015-11-04,1870
AMD Radeon Pro 555X,GPU,2018-07-16,3000
NVIDIA Quadro P5200 Max-Q,GPU,2018-02-21,7200
NVIDIA GeForce RTX 3050 Mobile,GPU,2021-01-01,
AMD Radeon R9 370X,GPU,2015-08-27,2800
AMD Radeon Vega 3 Mobile,GPU,2019-01-06,4940
AMD Radeon R7 M265DX,GPU,2014-01-07,690
NVIDIA Quadro FX Go700,GPU,2003-06-25,80
AMD Radeon HD 7950M,GPU,2012-04-24,2800
ATI Mobility Radeon HD 5750,GPU,2010-01-07,627
AMD Radeon Vega 8,GPU,2018-02-12,4940
NVIDIA GRID K1,GPU,2013-03-18,1270
NVIDIA GeForce RTX 3050 Max-Q,GPU,2021-01-01,
NVIDIA GeForce G100 OEM,GPU,2009-03-10,210
AMD Radeon R7 360,GPU,2015-06-18,2080
AMD Radeon R7 M260DX,GPU,2014-10-12,1550
Intel HD Graphics 4200,GPU,2013-09-02,
NVIDIA GeForce 6200 PCI,GPU,2008-01-16,75
NVIDIA GeForce MX250,GPU,2019-02-21,1800
NVIDIA GeForce4 MX 4000 Rev. 2,GPU,2003-12-14,29
NVIDIA GeForce Go 6400,GPU,2006-02-01,75
NVIDIA Quadro K2100M,GPU,2013-07-23,2540
NVIDIA GeForce 945M,GPU,2016-04-08,
NVIDIA GeForce 6800,GPU,2004-11-08,222
NVIDIA Quadro FX 1800M,GPU,2009-06-15,727
NVIDIA Tesla K40st,GPU,2013-11-22,7080
XGI Volari V5 Ultra,GPU,2003-09-15,90
NVIDIA RTX A4000,GPU,2021-04-12,17400
NVIDIA GeForce GT 130M,GPU,2009-01-08,314
AMD Radeon Vega 11 Embedded,GPU,2018-02-13,4940
NVIDIA GeForce FX 5900 ZT,GPU,2003-05-12,135
NVIDIA GeForce RTX 3070 Ti,GPU,2021-01-01,17400
Intel GMA 3100,GPU,2007-05-09,
NVIDIA GeForce 8600 GT,GPU,2007-04-17,289
Intel Iris Pro Graphics P580,GPU,2015-09-01,
ATI FireGL 9800 X2-256T,GPU,2003-10-01,117
NVIDIA GeForce 945A,GPU,2015-03-13,
NVIDIA Quadro Plex 2200 S4,GPU,2008-07-25,1400
ATI Mobility Radeon X2300,GPU,2007-03-01,107
NVIDIA GeForce RTX 2080 Max-Q,GPU,2019-01-29,13600
AMD Radeon HD 7670 OEM,GPU,2012-01-05,716
Matrox Millennium G550 PCIe,GPU,2001-11-26,10
AMD Radeon Pro 5700 XT,GPU,2020-08-04,10300
NVIDIA GeForce 7300 LE,GPU,2006-03-22,112
ATI FirePro V9800,GPU,2010-09-09,2154
AMD Radeon R5 435 OEM,GPU,2016-06-30,690
NVIDIA Quadro RTX 4000,GPU,2018-11-13,13600
NVIDIA GeForce 7950 GT AGP,GPU,2007-04-02,278
Intel Iris Plus Graphics 640,GPU,2017-01-03,
ATI Radeon X800 XT,GPU,2004-12-01,160
AMD Radeon HD 6350,GPU,2011-02-07,292
AMD Radeon HD 6870,GPU,2010-10-21,1700
Intel UHD Graphics 600,GPU,2017-12-11,
ATI Radeon X1700 FSC,GPU,2007-11-05,330
NVIDIA GeForce 615,GPU,2012-05-15,585
NVIDIA Switch GPU 16nm,GPU,2019-08-16,2000
ATI FireGL V3100,GPU,2004-09-01,107
AMD Radeon R9 M270X,GPU,2015-02-05,2080
ATI Radeon X550 XTX,GPU,2007-01-24,120
AMD Radeon RX 560 896SP,GPU,2017-07-04,3000
AMD Radeon HD 8350G IGP,GPU,2013-03-12,1303
ATI Radeon X300 LE,GPU,2004-09-01,107
AMD Radeon HD 8990 OEM,GPU,2013-04-24,4313
NVIDIA GeForce GTX 560 Ti X2,GPU,2011-01-25,1950
NVIDIA GeForce FX Go5200,GPU,2003-03-01,45
AMD Radeon Pro 5700,GPU,2020-08-04,10300
AMD Radeon HD 8550G IGP,GPU,2013-05-23,1303
NVIDIA GeForce 810M,GPU,2015-03-21,1270
AMD Radeon HD 6550A,GPU,2011-02-07,627
AMD Radeon HD 6530,GPU,2011-05-14,627
ATI Radeon 9800 PRO,GPU,2003-10-01,117
AMD FirePro W4100,GPU,2014-08-13,1500
ATI Radeon X550 HyperMemory,GPU,2005-07-01,107
AMD Radeon RX Vega 11,GPU,2018-02-12,4940
AMD Radeon RX 550 512SP,GPU,2017-10-13,3000
NVIDIA GeForce GTX 1080,GPU,2016-05-27,7200
AMD Radeon R9 M380,GPU,2015-05-05,2080
ATI Mobility Radeon HD 2400 XT Mac Edition,GPU,2007-06-28,180
AMD Radeon Pro WX 7100,GPU,2016-11-10,5700
NVIDIA GeForce GTX 760,GPU,2013-06-25,3540
NVIDIA GRID K160Q,GPU,2013-06-28,1270
NVIDIA Tesla M2070,GPU,2011-07-25,3100
ATI Radeon E4690 PCIe,GPU,2009-06-01,514
ATI Mobility Radeon HD 2400 XT,GPU,2007-05-14,180
NVIDIA GeForce GTX TITAN BLACK,GPU,2014-02-18,7080
ATI Radeon X1950 XT AGP,GPU,2006-10-17,384
AMD Radeon HD 7400G IGP,GPU,2012-10-02,1303
NVIDIA Quadro P5000,GPU,2016-10-01,7200
NVIDIA GeForce GT 740 OEM,GPU,2015-04-14,2540
ATI Radeon X600,GPU,2004-09-01,107
AMD Radeon Pro W5300M,GPU,2019-11-13,6400
ATI Radeon X800 PRO,GPU,2004-05-01,160
Intel Xeon Phi 3120A,GPU,2012-11-12,5000
AMD Radeon HD 7560D IGP,GPU,2012-10-02,1303
NVIDIA GeForce 9400M G,GPU,2008-10-15,314
ATI Radeon 9500,GPU,2003-03-01,110
ATI Radeon Xpress 1200 Mobile IGP,GPU,2007-02-28,120
AMD Radeon R9 M265X,GPU,2014-03-21,1500
NVIDIA GeForce GTS 450 Rev. 3,GPU,2012-07-11,1170
NVIDIA Quadro FX 4000,GPU,2004-04-01,222
AMD Radeon R7 360 896SP,GPU,2015-06-18,2080
NVIDIA GeForce 8800 Ultra,GPU,2007-05-02,681
Matrox M9125 PCIe x16,GPU,NaT,
AMD Radeon HD 7690M XT Rebrand,GPU,2012-01-04,716
NVIDIA GeForce 8800 GTX,GPU,2006-11-08,681
NVIDIA GeForce 6800 GT DDL,GPU,2004-04-14,222
ATI Radeon 9000 PRO Mac Edition,GPU,2004-03-14,36
Intel Iris Pro Graphics 580,GPU,2015-09-01,
AMD Radeon Pro WX 4150 Mobile,GPU,2017-03-01,3000
AMD Radeon VII,GPU,2019-02-07,13230
NVIDIA Quadro K1200,GPU,2015-01-28,1870
AMD Radeon Pro V7350X2,GPU,NaT,5700
AMD Radeon R5 A335,GPU,2015-10-21,690
NVIDIA GeForce2 Go 200,GPU,2001-02-06,20
Intel Xeon Phi 5120D,GPU,2013-06-17,5000
ATI Mobility Radeon HD 4870 X2,GPU,2009-01-09,956
XGI Volari V5 Ultra,GPU,2003-09-15,90
NVIDIA GeForce 7050 SE + nForce 630a,GPU,2006-02-01,112
NVIDIA GeForce GT 740,GPU,2014-05-29,1270
NVIDIA Quadro K5000,GPU,2012-08-17,3540
NVIDIA GeForce MX150,GPU,2017-05-17,1800
NVIDIA GeForce 9200M,GPU,2008-10-15,314
ATI Mobility Radeon X1900,GPU,2007-01-11,384
AMD Radeon R7 360E,GPU,2015-12-30,2080
NVIDIA GeForce 6800 LE,GPU,2005-01-16,222
AMD Radeon HD 6750,GPU,2011-01-21,1040
AMD Radeon R5 430 OEM,GPU,2016-06-30,950
AMD Radeon R9 260 OEM,GPU,2013-12-21,2080
NVIDIA GeForce 930M,GPU,2015-03-13,
NVIDIA GeForce FX 5600 XT,GPU,2003-03-17,80
AMD Radeon Graphics 512SP,GPU,2020-03-07,9800
NVIDIA Quadro K5100M,GPU,2013-07-23,3540
ATI Mobility Radeon X300 IGP,GPU,2005-01-01,107
AMD Radeon Pro 580,GPU,2017-06-05,5700
NVIDIA GeForce 310 OEM,GPU,2009-11-27,260
NVIDIA GeForce 940MX,GPU,2016-06-28,1870
NVIDIA RTX A6000,GPU,2020-10-05,28300
Intel Iris Plus Graphics G4,GPU,2019-05-29,
ATI Mobility Radeon X2300 HD,GPU,2007-03-01,107
NVIDIA GeForce 8600 GTS Mac Edition,GPU,2007-09-21,289
NVIDIA GeForce 9500M G,GPU,2008-06-03,314
ATI Radeon X800 SE,GPU,2004-10-04,160
AMD FirePro M4100,GPU,2013-10-16,950
AMD Radeon HD 7610M,GPU,2012-01-07,716
NVIDIA GeForce Go 7400,GPU,2006-02-01,112
ATI Mobility Radeon X1600,GPU,2006-02-01,157
ATI FirePro V8750,GPU,2008-07-28,956
NVIDIA Tesla C2050,GPU,2011-07-25,3100
AMD Radeon HD 7350 OEM PCI,GPU,2012-01-05,292
AMD Radeon RX 470 Mobile,GPU,2016-08-04,5700
AMD Radeon HD 6770 Green Edition,GPU,2013-04-19,1040
NVIDIA Quadro P620 Mobile,GPU,2018-02-01,3300
NVIDIA GeForce 8800 GTS 512,GPU,2007-12-11,754
AMD Radeon HD 8510G IGP,GPU,2013-05-23,1303
NVIDIA Quadro M3000M,GPU,2015-08-18,5200
NVIDIA Tesla S1075,GPU,2008-06-01,1400
NVIDIA GeForce FX Go5200 NPB 32M,GPU,2003-03-01,45
NVIDIA Quadro K5200,GPU,2014-07-22,7080
NVIDIA GeForce 710A,GPU,2015-03-21,1270
AMD Radeon E9260 PCIe,GPU,2016-09-27,3000
NVIDIA GeForce 8300,GPU,2007-04-17,210
ATI Radeon X1650 XT,GPU,2006-10-30,330
NVIDIA GeForce 6600 AGP,GPU,2004-08-12,146
NVIDIA GeForce 710A,GPU,2014-03-17,1020
ATI Mobility Radeon X600,GPU,2004-06-01,75
Intel UHD Graphics,GPU,2019-08-21,
NVIDIA Quadro FX 5600 Mac Edition,GPU,2007-03-05,681
ATI Radeon X1050 AGP,GPU,2007-11-25,60
AMD FireStream 9170,GPU,2007-11-08,666
NVIDIA GeForce GTX 960 OEM,GPU,2015-11-26,2940
ATI Radeon HD 2600 XT X2,GPU,2007-07-26,390
NVIDIA GRID RTX T10-8,GPU,NaT,18600
NVIDIA GeForce GTX 1050 Mobile,GPU,2017-01-03,3300
NVIDIA GeForce RTX 3080 Max-Q,GPU,2021-01-12,17400
NVIDIA GeForce GTX 1650 Max-Q,GPU,2020-04-15,4700
Intel HD Graphics 3000,GPU,2011-02-01,624
ATI Mobility Radeon HD 2400,GPU,2007-05-14,180
NVIDIA GeForce GT 525M,GPU,2011-01-05,585
Sony Playstation 2 GPU 90nm,GPU,2005-05-26,54
AMD Radeon HD 7660D IGP,GPU,2012-10-02,1303
NVIDIA GeForce GT 610 PCI,GPU,2012-04-02,292
ATI Radeon HD 3850 AGP,GPU,2008-01-03,666
NVIDIA GeForce GTX 750 GM206,GPU,2015-11-17,2940
ATI FirePro V5700,GPU,2008-08-08,514
ATI Mobility FireGL V5725,GPU,2009-01-01,378
Intel Iris Pro Graphics P580,GPU,2015-09-01,
Intel UHD Graphics,GPU,2021-01-01,
NVIDIA GeForce GTX 680MX Mac Edition,GPU,2012-10-23,3540
ATI All-In-Wonder Radeon 7500 VE,GPU,2002-04-16,60
NVIDIA GRID A100A,GPU,2020-05-14,54200
