Product,Type,Release Date,Transistors (million)
AMD Athlon 750,CPU,2000-06-05,37
AMD Sempron 150,CPU,2010-12-07,234
AMD Athlon 1200,CPU,2000-10-31,37
Intel Core 2 Duo T7600G,CPU,2006-12-27,293
Intel Core i5-8420,CPU,2018-09-01,
Intel Core i7-3970X,CPU,2012-11-01,2270
AMD Mobile Athlon 64 3400+,CPU,2005-08-01,106
AMD Opteron 6168,CPU,2010-03-29,1800
AMD Athlon X2 QL-65,CPU,2008-12-01,
AMD Athlon XP 2800+ DTR,CPU,2001-01-01,63
Intel Atom E660,CPU,2010-09-14,47
Intel Core i5-3475S,CPU,2012-06-01,1400
AMD C-50,CPU,2011-01-04,
AMD Athlon 64 FX-74,CPU,2006-11-30,227
Intel Atom N280,CPU,2008-06-03,47
AMD Turion 64 ML-40,CPU,2005-06-22,114
Intel Celeron 2.80,CPU,2003-11-03,55
Intel Pentium G630T,CPU,2011-09-04,504
AMD Phenom II X3 B73,CPU,2009-10-01,758
AMD Ryzen 3 1300X,CPU,2017-07-27,4800
Intel Pentium M 715,CPU,2004-06-23,140
Intel Xeon 5150,CPU,2006-06-26,
Intel Pentium D 840 EE,CPU,2005-05-01,169
AMD Athlon X2 4050e,CPU,2008-04-21,154
Intel Core i7-4790S,CPU,2014-05-01,1400
AMD Ryzen 5 PRO 3500U,CPU,2019-04-08,4940
Intel Xeon E3-1280,CPU,2011-04-03,1160
Intel Core 2 Duo U7600,CPU,2007-04-27,293
AMD Athlon XP 2400+,CPU,2002-08-21,63
AMD E1-2100,CPU,2013-05-23,1178
AMD EPYC 7401P,CPU,2017-06-29,4800
Intel Core i5-1135G7,CPU,2020-09-02,
AMD Turion X2 Ultra ZM-87,CPU,2008-06-01,
Intel Xeon 7140M,CPU,2006-08-27,1328
Intel Xeon E5-2650 v2,CPU,2013-09-01,1400
Intel Atom Z620,CPU,2010-05-04,140
Intel Xeon 2.0,CPU,2002-02-25,55
AMD Phenom II X3 705e,CPU,2009-06-02,758
Intel Pentium 4 511,CPU,2005-01-01,125
AMD Athlon XP 3000+,CPU,2001-01-01,63
AMD Phenom II X3 700e,CPU,2009-06-02,758
AMD Opteron 842,CPU,2003-09-09,106
AMD Sempron 3000+,CPU,2001-01-01,69
Intel Pentium 4 1.8A,CPU,2001-07-02,42
Intel Core i5-8500T,CPU,2018-04-02,
AMD Opteron X2 270 HE,CPU,2005-12-01,233
Intel Xeon 7110M,CPU,2006-08-27,1328
AMD FX-8140,CPU,2012-10-23,1200
Intel Atom D2550,CPU,2011-11-01,176
Intel Celeron G3920,CPU,2015-09-01,1400
AMD Ryzen 5 3400G,CPU,2019-07-07,4940
Intel Core i3-8145U,CPU,2018-10-01,
AMD Athlon 64 X2 6000+,CPU,2007-02-20,227
AMD Ryzen 3 PRO 4350GE,CPU,2020-07-21,
Intel Core 2 Duo E6600,CPU,2006-07-27,291
AMD EPYC 7272,CPU,2019-08-07,3800
Intel Core i3-8350K,CPU,2017-10-05,
AMD Athlon 64 LE-1660,CPU,2008-05-01,122
Intel Pentium SU4100,CPU,2009-09-01,410
AMD Athlon 64 2800+,CPU,2004-04-27,69
AMD Turion X2 Ultra ZM-88,CPU,2008-12-01,
Intel Pentium M 765,CPU,2004-10-20,140
Intel Core i3-350M,CPU,2010-01-07,382
Intel Xeon Platinum 8352V,CPU,2021-04-06,
AMD Ryzen 5 5600G,CPU,2021-04-13,
AMD Phenom X3 8400,CPU,2008-03-27,450
Intel Core i5-7500T,CPU,2017-01-03,
Intel Core i7-8550U,CPU,2017-08-21,
AMD Ryzen Threadripper 1920X,CPU,2017-08-10,9600
Intel Core i5-1035G1,CPU,2019-08-01,
Intel Celeron N2930,CPU,2014-02-23,
